name,program_number,model_type,lat,lon,address,phone,contract_type,school_district,boro,zip,levelofcare
"HIGHBRIDGE ADVISORY ECC#3",0121706,GC,40.84229630,-73.92442690,"1399 OGDEN AVENUE BRONX, NY 10452",,FF,09,BX,10452,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"SOUND DALE CENTER FOR ECE",0121901,GC,40.82978500,-73.87100730,"1211 CROES AVENUE BRONX, NY 10472",(718) 378-3533,FF,12,BX,10472,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BRONXDALE NURSERY",0121902,GC,40.82702500,-73.86562460,"1065 BEACH AVENUE BRONX, NY 10472",(718) 378-0400,FF,12,BX,10472,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BELMONT COMMUNITY DCC",0122101,GC,40.85362420,-73.88512730,"2340 CAMBRELENG AVE BRONX, NY 10458",(718) 584-1576,FF,10,BX,10458,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[1.0,5.0,12.11,2.0]]"
"LSSNY - EARLY LIFE CTR 2",0122401,GD,40.82075580,-73.89955840,"888 WESTCHESTER AVENUE BRONX, NY 10459",(718) 450-3556,FF,08,BX,10459,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"NORTH BRONX NCNW CDC",0122501,GD,40.88966960,-73.85985080,"4035 WHITE PLAINS RD. BRONX, NY 10466",(718) 231-7100,FF,11,BX,10466,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BABOVE 52",0125401,GD,40.84960430,-73.91189140,"1810 DAVIDSON AVE BRONX, NY 10453",(718) 466-7519,FF,10,BX,10453,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"1332 FULTON AVE DCC",0125901,GC,40.83299770,-73.90246360,"1332 FULTON AVE BRONX, NY 10456",(718) 378-1330,FF,09,BX,10456,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"IOLA'S JORDAN DCC",0125902,GC,40.82427600,-73.91289600,"421 EAST 161 STREET BRONX, NY 10451",(718) 402-4166,FF,07,BX,10451,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"EAST BRONX DAY CARE CENTER",0133201,GD,40.82587820,-73.88170420,"1113 COLGATE AVENUE BRONX, NY 10472",(718) 617-2900,FF,08,BX,10472,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,6.0,11.0,2.0]]"
"TREMONT CROTONA DAY CARE CTR",0137801,GC,40.83648050,-73.89125680,"1600 CROTONA PK. E BRONX, NY 10460",(718) 378-5600,FF,12,BX,10460,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BRONX RIVER CHILD CARE",0137802,GC,40.83465500,-73.87839660,"1555 EAST 174TH STREET BRONX, NY 10472",(718) 842-6582,FF,12,BX,10472,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"HAC/MARSHALL ENGLAND ",0140601,GC,40.82408470,-73.91896480,"800 CONCOURSE VILLAGE E. BRONX, NY 10451",(718) 742-2370,FF,07,BX,10451,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"MID BRONX CCRP ECC 2",0141701,GC,40.84319640,-73.91251390,"100-120 EAST MT EDEN AVENUE BRONX, NY 10452",(718) 684-4790,FF,09,BX,10452,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"LABOR BATHGATE COMM CCC",0143201,GD,40.84233520,-73.90469270,"1638 ANTHONY AVENUE BRONX, NY 10457",(718) 583-3850,FF,09,BX,10457,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"CMCS/ CARDINAL MCCLOSKEY COMM ",0144301,GD,40.81842300,-73.91871400,"629 COURTLANDT AVENUE BRONX, NY 10451",(718) 402-0081,FF,07,BX,10451,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.11,2.0],[0.0,0.0,0.0,2.0]]"
"SALVATION ARMY BRONX CITADEL",0150102,GC,40.82281550,-73.91327910,"425 EAST 159TH STREET BRONX, NY 10451",(718) 742-2346,FF,07,BX,10451,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"BETANCES EARLY CHILDHOOD",0150201,GD,40.81254730,-73.91519670,"528 EAST 146TH STREET BRONX, NY 10455",(718) 665-1100,FF,07,BX,10455,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"TOLENTINE-ZEISER DCC",0156001,GC,40.86222940,-73.90648210,"2340 ANDREWS AVENUE BRONX, NY 10468",(718) 933-6935,FF,10,BX,10468,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"GWENDOLYN B. BLAND DCC",0191502,GD,40.82290580,-73.90387060,"749 EAST 163RD STREET BRONX, NY 10456",(718) 991-1050,FF,08,BX,10456,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BLONDELL G JOYNER",0191503,GD,40.82172150,-73.90304880,"909 TINTON AVE BRONX, NY 10456",(718) 665-7791,FF,08,BX,10456,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"FIVE STAR DAY CARE CENTER",0191504,GD,40.82461430,-73.90875480,"3261 THIRD AVE BRONX, NY 10456",(718) 292-4774,FF,08,BX,10456,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"NAT AZAROW CHILDREN'S CTR",0300301,GD,40.66884500,-73.90394960,"232 POWELL ST BROOKLYN, NY 11212",(718) 623-9803,FF,23,BK,11212,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BREVOORT CHILDREN'S CENTER",0300302,GD,40.68079280,-73.92366820,"250 RALPH AVENUE BROOKLYN, NY 11233",(718) 623-9803,FF,16,BK,11233,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"TOMPKINS CHILDRENS CENTER",0300303,GD,40.69763710,-73.94623200,"730 PARK AVENUE BROOKLYN, NY 11206",(718) 623-9803,FF,14,BK,11206,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"EDWARD L. CLEVELAND DCC",0300304,GD,40.67279300,-73.93839100,"1185 PARK PLACE BROOKLYN, NY 11213",(718) 623-9803,FF,17,BK,11213,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"SUMNER CHILDREN'S CENTER",0300305,GD,40.69821500,-73.94065070,"860 PARK AVENUE BROOKLYN, NY 11206",(718) 623-9803,FF,14,BK,11206,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"LIFE - CONEY ISLAND",0300401,GD,40.57830040,-73.99930500,"2757 WEST 33RD ST BROOKLYN, NY 11224",(718) 942-4494,FF,21,BK,11224,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"ST. MALACHY ECDC",0300403,GC,40.67698630,-73.89075260,"220 HENDRIX STREET BROOKLYN, NY 11207",(718) 647-0966,FF,19,BK,11207,"[[1.0,0.02,1.06,0.0],[1.0,1.06,2.11,0.0],[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0]]"
"BUSHWICK UNITED HDFC 8",0300407,GD,40.69264700,-73.90750100,"803 KNICKERBOCKER AVENUE BROOKLYN, NY 11207",(718) 975-8374,FF,32,BK,11207,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"CORNERSTONE DAY CARE CTR",0303101,GC,40.68622850,-73.93545400,"289 LEWIS AVENUE BROOKLYN, NY 11221",(718) 574-8300,FF,16,BK,11221,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"PAL LA PUERTA ABIERTA",0304703,GD,40.57273600,-74.00216680,"3001 WEST 37TH STREET BROOKLYN, NY 11224",(718) 373-1100,FF,21,BK,11224,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"HOWARD CHILDREN CENTER",0304705,GD,40.67288400,-73.90939200,"1592 EAST NEW YORK AVE BROOKLYN, NY 11212",(718) 623-9803,FF,23,BK,11212,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"YWCA - ROBERTA BRIGHT ELC",0304706,GD,40.57273600,-74.00216680,"3001 WEST 37TH ST. BROOKLYN, NY 11224",(718) 266-5333,FF,21,BK,11224,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"SYLVIA KLEIN CCC",0306101,GC,40.66919280,-73.87089660,"720 EUCLID AVENUE BROOKLYN, NY 11208",(718) 625-3810,FF,19,BK,11208,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BREUKELEN DAY CARE CENTER",0308201,GC,40.64876990,-73.89549250,"717 EAST 105TH STREET BROOKLYN, NY 11236",(718) 649-1463,FF,18,BK,11236,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"MARCY CHILDREN'S CENTER",0308703,GD,40.69830220,-73.95027600,"494 MARCY AVENUE BROOKLYN, NY 11206",(718) 855-7252,FF,14,BK,11206,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"COOPER PARK CHILD CARE CTR",0308706,GD,40.71899250,-73.93928490,"292 FROST STREET BROOKLYN, NY 11222",(718) 389-5959,FF,14,BK,11222,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BBCS DUFFIELD CHLDRNS CTR",0310903,GC,40.69277340,-73.98133160,"101 FLEET PLACE BROOKLYN, NY 11201",,FF,13,BK,11201,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"STRONG PLACE FOR HOPE CLINTON",0312101,GC,40.67490080,-74.00158970,"595 CLINTON ST BROOKLYN, NY 11231",(718) 624-2993,FF,15,BK,11231,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"SCO SERVICES - SARATOGA",0314501,GD,40.66168320,-73.91600480,"774 SARATOGA AVENUE BROOKLYN, NY 11212",(718) 443-4100,FF,23,BK,11212,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"FRIENDS OF CROWN HEIGHTS 17",0314502,GC,40.66556450,-73.87916330,"921 HEGEMAN AVENUE BROOKLYN, NY 11208",(929) 234-2866,FF,19,BK,11208,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.09,0.0],[1.0,5.0,11.0,0.0]]"
"FRIENDS OF CROWN HEIGHTS 19",0314503,GC,40.66159480,-73.89330660,"370 NEW LOTS AVE BROOKLYN, NY 11207",(929) 234-2838,FF,19,BK,11207,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.09,0.0],[1.0,5.0,12.11,0.0]]"
"FRIENDS OF CROWN HEIGHTS 18",0314505,GC,40.67733730,-73.87808170,"851 LIBERTY AVENUE BROOKLYN, NY 11208",(929) 234-2955,FF,19,BK,11208,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[1.0,5.0,12.11,2.0]]"
"FRIENDS OF CROWN HEIGHTS 15",0314506,GC,40.67454640,-73.87963760,"2505 PITKIN AVE BROOKLYN, NY 11208",(929) 234-2850,FF,19,BK,11208,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"GRAND STREET SETT  STANHOPE",0315401,GD,40.70307410,-73.91856460,"319 STANHOPE STREET BROOKLYN, NY 11237",(718) 381-8900,FF,32,BK,11237,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"FRIENDS OF CROWN HEIGHTS 20",0315901,GC,40.68999600,-73.95353760,"34-52 KOSCIUSKO STREET BROOKLYN, NY 11205",(718) 638-3209,FF,13,BK,11205,"[[1.0,0.02,1.06,2.0],[1.0,1.06,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"FRIENDS OF CROWN HEIGHTS 4",0316001,GD,40.65227480,-73.93989340,"141 EAST 40TH ST BROOKLYN, NY 11203",(718) 284-2184,FF,18,BK,11203,"[[1.0,0.02,1.06,2.0],[1.0,1.06,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"MAGICAL YEARS ECC",0316101,GC,40.64293730,-74.02241920,"230 60TH STREET BROOKLYN, NY 11220",(718) 439-0450,FF,20,BK,11220,"[[1.0,0.02,1.06,2.0],[1.0,1.06,2.0,2.0],[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0]]"
"WARREN STREET CENTER",0316102,GC,40.68527280,-73.99021230,"343 WARREN STREET BROOKLYN, NY 11201",(718) 237-9578,FF,15,BK,11201,"[[0.0,0.0,0.0,2.0],[1.0,1.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"LIFE - AUDREY JOHNSON",0316501,GD,40.68967790,-73.90401310,"272 MOFFAT STREET BROOKLYN, NY 11207",(718) 574-0130,FF,32,BK,11207,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"LIFE - JOHN COKER",0316502,GD,40.68546590,-73.91043350,"1375 BUSHWICK AVENUE BROOKLYN, NY 11207",(718) 452-1414,FF,32,BK,11207,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"PARK PLACE DAY CARE CTR",0316801,GC,40.67345880,-73.94558810,"963 PARK PLACE BROOKLYN, NY 11213",(718) 778-8558,FF,17,BK,11213,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"ACTION NURSERY ",0317101,GD,40.64049580,-73.99627350,"1019 46TH STREET BROOKLYN, NY 11219",(718) 854-7778,FF,15,BK,11219,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BOULEVARD NURSERY SCHOOL",0318201,GC,40.66134300,-73.88341840,"2150 LINDEN BOULEVARD BROOKLYN, NY 11207",(718) 649-2295,FF,19,BK,11207,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"STRONG PLACE FOR HOPE DCC",0318601,GC,40.67396330,-73.98350920,"333 SECOND STREET BROOKLYN, NY 11215",(718) 499-0747,FF,15,BK,11215,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"CHARLES R DREW ELC 5",0319501,GC,40.63395000,-73.94987850,"2804-06 GLENWOOD ROAD BROOKLYN, NY 11210",(718) 434-1693,FF,22,BK,11210,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"GEORGIA L MCMURRAY BATKIDS",0321201,GC,40.64550960,-74.02389470,"140 58TH STREET BROOKLYN, NY 11220",(718) 625-3810,FF,20,BK,11220,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BAY RIDGE CHLD CARE CENTER",0321202,GC,40.65073880,-74.01058570,"314-322 44TH. STREET BROOKLYN, NY 11220",(718) 625-3810,FF,15,BK,11220,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"WILLIAMSBURG CCC",0321303,GD,40.70527710,-73.96385020,"110 TAYLOR STREET BROOKLYN, NY 11211",(347) 943-7683,FF,14,BK,11211,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BILLY MARTIN CHD DEV CTR",0323501,GC,40.68985120,-73.95984590,"333 CLASSON AVENUE BROOKLYN, NY 11205",(718) 857-5630,FF,13,BK,11205,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"BUSHWICK UNITED HDFC 7",0325101,GD,40.69741880,-73.92823290,"600 HART STREET BROOKLYN, NY 11221",(347) 695-1562,FF,32,BK,11221,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"STAGG STREET CENTER FOR CHILD",0325102,GC,40.70914670,-73.94713100,"77-83 STAGG STREET BROOKLYN, NY 11206",(   )    -    ,FF,14,BK,11206,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"UNITED ACADEMY #2",0325701,GC,40.70498100,-73.95280120,"60 HARRISON AVENUE BROOKLYN, NY 11211",(718) 935-9848,FF,14,BK,11211,"[[1.0,0.02,1.06,2.0],[1.0,1.06,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"FRIENDS OF CROWN HEIGHTS 29",0326401,GC,40.67316190,-73.92888460,"1435 PROSPECT PLACE BROOKLYN, NY 11213",(718) 778-1498,FF,16,BK,11213,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.09,0.0],[1.0,5.0,12.11,0.0]]"
"STRONG PLACE FOR HOPE ATLANTIC",0328001,GC,40.68607430,-73.98310350,"460 ATLANTIC AVE 3RD FL BROOKLYN, NY 11217",(718) 522-1351,FF,15,BK,11217,"[[1.0,0.0,0.0,0.0],[1.0,0.0,0.0,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"ST. ANDREWS COMMUNITY DCC",0330701,GC,40.64651630,-74.01202450,"4917 FOURTH AVENUE BROOKLYN, NY 11220",(718) 492-9678,FF,15,BK,11220,"[[0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
